network,iteration,health_conditioned,health_unconditioned,time
pc,0,0.369620253164557,0.369620253164557,0.00100198400014051
pc,1,0.369620253164557,0.369620253164557,0.0007044750000204658
pc,2,0.369620253164557,0.369620253164557,0.0009740829996189859
pc,3,0.369620253164557,0.369620253164557,0.001179755000066507
pc,4,0.369620253164557,0.369620253164557,0.0005869609999535896
tree,0,0.362875702488255,0.369620253164557,0.0015116139998099243
tree,1,0.362875702488255,0.369620253164557,0.0012644299999919895
tree,2,0.362875702488255,0.369620253164557,0.0012541319997581013
tree,3,0.362875702488255,0.369620253164557,0.0011962999997194856
tree,4,0.362875702488255,0.369620253164557,0.0014212620003490883
expert,0,0.3353002739966495,0.33623367047142827,0.0021292559999892546
expert,1,0.3353002739966495,0.33623367047142827,0.0031913090001580713
expert,2,0.3353002739966495,0.33623367047142827,0.0019238899999436399
expert,3,0.3353002739966495,0.33623367047142827,0.002541879000091285
expert,4,0.3353002739966495,0.33623367047142827,0.001986882999972295
